#ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2,,,
#Wvlgth nm,Etr W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1
nm,space,global,direct
280,8.20E-02,4.73E-23,2.54E-26
280.5,9.90E-02,1.23E-21,1.09E-24
281,1.50E-01,5.69E-21,6.13E-24
281.5,2.12E-01,1.57E-19,2.75E-22
282,2.67E-01,1.19E-18,2.83E-21
282.5,3.03E-01,4.54E-18,1.33E-20
283,3.25E-01,1.85E-17,6.76E-20
283.5,3.23E-01,3.54E-17,1.46E-19
284,2.99E-01,7.27E-16,4.98E-18
284.5,2.50E-01,2.49E-15,2.16E-17
285,1.76E-01,8.01E-15,9.00E-17
285.5,1.55E-01,4.26E-14,6.44E-16
286,2.42E-01,1.37E-13,2.35E-15
286.5,3.33E-01,8.38E-13,1.85E-14
287,3.62E-01,2.74E-12,7.25E-14
287.5,3.39E-01,1.09E-11,3.66E-13
288,3.11E-01,6.23E-11,2.81E-12
288.5,3.25E-01,1.72E-10,9.07E-12
289,3.92E-01,5.63E-10,3.50E-11
289.5,4.79E-01,2.07E-09,1.54E-10
290,5.63E-01,6.02E-09,5.15E-10
290.5,6.06E-01,1.38E-08,1.33E-09
291,6.18E-01,3.51E-08,3.90E-09
291.5,5.98E-01,1.09E-07,1.44E-08
292,5.67E-01,2.68E-07,4.08E-08
292.5,5.29E-01,4.27E-07,7.04E-08
293,5.38E-01,8.65E-07,1.58E-07
293.5,5.49E-01,2.27E-06,4.71E-07
294,5.33E-01,4.17E-06,9.46E-07
294.5,5.20E-01,6.59E-06,1.60E-06
295,5.27E-01,1.23E-05,3.22E-06
295.5,5.59E-01,2.78E-05,8.02E-06
296,5.73E-01,4.79E-05,1.47E-05
296.5,5.21E-01,7.13E-05,2.33E-05
297,4.78E-01,9.68E-05,3.32E-05
297.5,5.29E-01,1.86E-04,6.79E-05
298,5.28E-01,2.90E-04,1.11E-04
298.5,4.68E-01,3.58E-04,1.43E-04
299,4.72E-01,4.92E-04,2.03E-04
299.5,5.01E-01,8.61E-04,3.74E-04
300,4.58E-01,1.02E-03,4.56E-04
300.5,4.33E-01,1.25E-03,5.72E-04
301,4.63E-01,1.93E-03,9.19E-04
301.5,4.78E-01,2.69E-03,1.32E-03
302,4.49E-01,2.92E-03,1.46E-03
302.5,5.08E-01,4.28E-03,2.19E-03
303,6.12E-01,7.09E-03,3.73E-03
303.5,6.46E-01,8.98E-03,4.80E-03
304,6.21E-01,9.47E-03,5.10E-03
304.5,6.26E-01,1.20E-02,6.47E-03
305,6.42E-01,1.65E-02,8.93E-03
305.5,6.11E-01,1.87E-02,1.02E-02
306,5.65E-01,1.86E-02,1.02E-02
306.5,5.75E-01,2.11E-02,1.16E-02
307,6.05E-01,2.78E-02,1.52E-02
307.5,6.31E-01,3.56E-02,1.95E-02
308,6.45E-01,3.78E-02,2.08E-02
308.5,6.41E-01,4.14E-02,2.28E-02
309,5.80E-01,4.05E-02,2.23E-02
309.5,5.00E-01,4.33E-02,2.37E-02
310,5.33E-01,5.09E-02,2.78E-02
310.5,6.52E-01,6.55E-02,3.59E-02
311,7.62E-01,8.29E-02,4.54E-02
311.5,7.44E-01,8.41E-02,4.62E-02
312,7.06E-01,9.34E-02,5.09E-02
312.5,6.76E-01,9.90E-02,5.38E-02
313,6.94E-01,1.07E-01,5.83E-02
313.5,7.24E-01,1.08E-01,5.90E-02
314,7.17E-01,1.20E-01,6.53E-02
314.5,6.76E-01,1.31E-01,7.05E-02
315,6.85E-01,1.36E-01,7.37E-02
315.5,6.32E-01,1.18E-01,6.48E-02
316,5.87E-01,1.23E-01,6.71E-02
316.5,6.49E-01,1.50E-01,8.11E-02
317,7.39E-01,1.72E-01,9.30E-02
317.5,8.02E-01,1.82E-01,9.97E-02
318,7.24E-01,1.76E-01,9.58E-02
318.5,6.80E-01,1.86E-01,1.00E-01
319,7.06E-01,2.05E-01,1.10E-01
319.5,7.33E-01,1.96E-01,1.07E-01
320,7.75E-01,2.05E-01,1.13E-01
320.5,8.26E-01,2.45E-01,1.33E-01
321,7.65E-01,2.50E-01,1.34E-01
321.5,7.19E-01,2.38E-01,1.28E-01
322,7.35E-01,2.22E-01,1.22E-01
322.5,7.12E-01,2.17E-01,1.20E-01
323,6.49E-01,2.12E-01,1.16E-01
323.5,6.81E-01,2.49E-01,1.34E-01
324,7.41E-01,2.75E-01,1.49E-01
324.5,7.88E-01,2.83E-01,1.55E-01
325,8.29E-01,2.79E-01,1.55E-01
325.5,9.14E-01,3.24E-01,1.79E-01
326,9.98E-01,3.81E-01,2.09E-01
326.5,1.02E+00,4.07E-01,2.22E-01
327,1.00E+00,3.98E-01,2.18E-01
327.5,9.87E-01,3.85E-01,2.13E-01
328,9.57E-01,3.51E-01,1.98E-01
328.5,9.34E-01,3.72E-01,2.07E-01
329,1.00E+00,4.22E-01,2.33E-01
329.5,1.10E+00,4.69E-01,2.59E-01
330,1.11E+00,4.71E-01,2.62E-01
330.5,1.04E+00,4.28E-01,2.41E-01
331,9.91E-01,4.03E-01,2.28E-01
331.5,9.94E-01,4.18E-01,2.36E-01
332,9.93E-01,4.36E-01,2.45E-01
332.5,9.80E-01,4.39E-01,2.47E-01
333,9.64E-01,4.29E-01,2.43E-01
333.5,9.37E-01,4.07E-01,2.33E-01
334,9.56E-01,4.15E-01,2.38E-01
334.5,9.89E-01,4.45E-01,2.54E-01
335,1.01E+00,4.64E-01,2.65E-01
335.5,9.75E-01,4.53E-01,2.59E-01
336,8.90E-01,4.15E-01,2.38E-01
336.5,8.29E-01,3.82E-01,2.21E-01
337,8.18E-01,3.74E-01,2.18E-01
337.5,8.77E-01,4.01E-01,2.34E-01
338,9.25E-01,4.34E-01,2.53E-01
338.5,9.58E-01,4.55E-01,2.65E-01
339,9.69E-01,4.64E-01,2.71E-01
339.5,9.89E-01,4.74E-01,2.78E-01
340,1.05E+00,5.02E-01,2.97E-01
340.5,1.05E+00,5.01E-01,2.97E-01
341,9.71E-01,4.71E-01,2.79E-01
341.5,9.59E-01,4.69E-01,2.79E-01
342,9.96E-01,4.89E-01,2.91E-01
342.5,1.03E+00,5.08E-01,3.03E-01
343,1.04E+00,5.15E-01,3.09E-01
343.5,9.83E-01,4.86E-01,2.92E-01
344,8.54E-01,4.18E-01,2.54E-01
344.5,8.13E-01,4.03E-01,2.44E-01
345,9.16E-01,4.59E-01,2.79E-01
345.5,9.70E-01,4.89E-01,2.98E-01
346,9.43E-01,4.78E-01,2.91E-01
346.5,9.56E-01,4.87E-01,2.97E-01
347,9.70E-01,4.94E-01,3.03E-01
347.5,9.33E-01,4.77E-01,2.94E-01
348,9.25E-01,4.75E-01,2.93E-01
348.5,9.37E-01,4.83E-01,2.99E-01
349,8.99E-01,4.66E-01,2.89E-01
349.5,9.20E-01,4.78E-01,2.97E-01
350,1.01E+00,5.28E-01,3.29E-01
350.5,1.08E+00,5.67E-01,3.55E-01
351,1.05E+00,5.52E-01,3.46E-01
351.5,1.01E+00,5.30E-01,3.34E-01
352,9.84E-01,5.18E-01,3.27E-01
352.5,9.26E-01,4.90E-01,3.10E-01
353,9.80E-01,5.20E-01,3.30E-01
353.5,1.08E+00,5.72E-01,3.64E-01
354,1.13E+00,6.05E-01,3.85E-01
354.5,1.14E+00,6.12E-01,3.90E-01
355,1.14E+00,6.11E-01,3.91E-01
355.5,1.10E+00,5.90E-01,3.79E-01
356,1.03E+00,5.54E-01,3.56E-01
356.5,9.59E-01,5.19E-01,3.35E-01
357,8.42E-01,4.57E-01,2.95E-01
357.5,8.50E-01,4.62E-01,3.00E-01
358,7.89E-01,4.30E-01,2.79E-01
358.5,7.31E-01,3.99E-01,2.60E-01
359,8.58E-01,4.70E-01,3.07E-01
359.5,1.03E+00,5.65E-01,3.70E-01
360,1.09E+00,5.98E-01,3.92E-01
360.5,1.03E+00,5.65E-01,3.72E-01
361,9.42E-01,5.20E-01,3.43E-01
361.5,9.18E-01,5.10E-01,3.36E-01
362,9.58E-01,5.34E-01,3.54E-01
362.5,1.05E+00,5.85E-01,3.88E-01
363,1.07E+00,6.02E-01,4.00E-01
363.5,1.04E+00,5.85E-01,3.90E-01
364,1.07E+00,6.06E-01,4.05E-01
364.5,1.06E+00,6.01E-01,4.02E-01
365,1.10E+00,6.24E-01,4.18E-01
365.5,1.20E+00,6.86E-01,4.61E-01
366,1.29E+00,7.35E-01,4.95E-01
366.5,1.28E+00,7.37E-01,4.97E-01
367,1.26E+00,7.23E-01,4.89E-01
367.5,1.23E+00,7.09E-01,4.80E-01
368,1.16E+00,6.68E-01,4.53E-01
368.5,1.15E+00,6.63E-01,4.51E-01
369,1.19E+00,6.93E-01,4.72E-01
369.5,1.28E+00,7.45E-01,5.09E-01
370,1.29E+00,7.55E-01,5.17E-01
370.5,1.17E+00,6.83E-01,4.68E-01
371,1.18E+00,6.93E-01,4.76E-01
371.5,1.22E+00,7.21E-01,4.96E-01
372,1.14E+00,6.74E-01,4.65E-01
372.5,1.09E+00,6.43E-01,4.44E-01
373,1.04E+00,6.19E-01,4.28E-01
373.5,9.39E-01,5.58E-01,3.87E-01
374,9.34E-01,5.56E-01,3.87E-01
374.5,9.25E-01,5.52E-01,3.84E-01
375,9.85E-01,5.89E-01,4.11E-01
375.5,1.09E+00,6.52E-01,4.55E-01
376,1.12E+00,6.75E-01,4.72E-01
376.5,1.10E+00,6.64E-01,4.65E-01
377,1.18E+00,7.12E-01,5.00E-01
377.5,1.31E+00,7.95E-01,5.59E-01
